# topic=package-update-19-close-incident
# time=2026-09-12T17:47:41+00:00
$ uname -a
Linux localhost 6.18.35 #1 SMP Mon Aug 31 18:10:37 UTC 2026 x86_64 GNU/Linux
$ id
uid=0(root) gid=0(root) groups=0(root)
$ dpkg-query -W
adduser	3.152
adwaita-icon-theme	48.1-1
ant	1.10.15-1
ant-optional	1.10.15-1
antiword	0.37-17
apache2	2.4.68-1~deb13u1
apache2-bin	2.4.68-1~deb13u1
apache2-data	2.4.68-1~deb13u1
apache2-utils	2.4.68-1~deb13u1
apparmor	4.1.0-1
apt	3.0.3
at-spi2-common	2.56.2-1+deb13u1
autoconf	2.72-3.1
automake	1:1.17-4
autotools-dev	20240727.1
base-files	13.8+deb13u3
base-passwd	3.6.7
bash	5.2.37-2+b7
binutils	2.44-3
binutils-common:amd64	2.44-3
binutils-x86-64-linux-gnu	2.44-3
blt	2.5.3+dfsg-8
bsdutils	1:2.41-5
build-essential	12.12
busybox	1:1.37.0-6+b8
bzip2	1.0.8-6
bzip2-doc	1.0.8-6
ca-certificates	20250419
ca-certificates-java	20240118
cfortran	20210827-1.1
chromium	144.0.7559.96-1~deb13u1
chromium-common	144.0.7559.96-1~deb13u1
cmake	3.31.6-2
cmake-data	3.31.6-2
coinor-libcbc3.1:amd64	2.10.12+ds-1
coinor-libcgl1:amd64	0.60.9+ds-1
coinor-libclp1:amd64	1.17.10+ds-1
coinor-libcoinmp0:amd64	1.8.4+dfsg-2
coinor-libcoinutils3v5:amd64	2.11.11+ds-5
coinor-libosi1v5:amd64	0.108.10+ds-2
comerr-dev:amd64	2.1-1.47.2-3+b11
coreutils	9.7-3
cpio	2.15+dfsg-2
cpp	4:14.2.0-1
cpp-14	14.2.0-19
cpp-14-x86-64-linux-gnu	14.2.0-19
cpp-x86-64-linux-gnu	4:14.2.0-1
curl	8.14.1-2+deb13u4
dash	0.5.12-12
dbus	1.16.2-2
dbus-bin	1.16.2-2
dbus-daemon	1.16.2-2
dbus-session-bus-common	1.16.2-2
dbus-system-bus-common	1.16.2-2
dbus-user-session	1.16.2-2
dbus-x11	1.16.2-2
dconf-cli	0.40.0-5
dconf-gsettings-backend:amd64	0.40.0-5
dconf-service	0.40.0-5
debconf	1.5.91
debian-archive-keyring	2025.1
debianutils	5.23.2
default-jre	2:1.21-76
default-jre-headless	2:1.21-76
default-libmysqlclient-dev:amd64	1.1.1
dictionaries-common	1.30.10
diffutils	1:3.10-4
dirmngr	2.4.7-21+deb13u1+b1
dpkg	1.22.22
dpkg-dev	1.22.22
dracut-install	106-6
emacsen-common	3.0.8
espeak	1.48.15+dfsg-3+b2
espeak-data:amd64	1.48.15+dfsg-3+b2
fakeroot	1.37.1.1-1
ffmpeg	7:7.1.5-0+deb13u1
file	1:5.46-5
findutils	4.10.0-3
firebird-utils	4.0.5.3140.ds6-17+deb13u1
firebird4.0-common	4.0.5.3140.ds6-17+deb13u1
firebird4.0-common-doc	4.0.5.3140.ds6-17+deb13u1
firebird4.0-server-core:amd64	4.0.5.3140.ds6-17+deb13u1
firebird4.0-utils	4.0.5.3140.ds6-17+deb13u1
flac	1.5.0+ds-2
fontconfig	2.15.0-2.3
fontconfig-config	2.15.0-2.3
fonts-croscore	20201225-2
fonts-crosextra-caladea	20200211-2
fonts-crosextra-carlito	20230309-2
fonts-dejavu	2.37-8
fonts-dejavu-core	2.37-8
fonts-dejavu-extra	2.37-8
fonts-dejavu-mono	2.37-8
fonts-lato	2.015-1
fonts-liberation	1:2.1.5-3
fonts-liberation-sans-narrow	1:1.07.6-4
fonts-linuxlibertine	5.3.0-6
fonts-noto	20201225-2
fonts-noto-cjk	1:20240730+repack1-1
fonts-noto-color-emoji	2.051-0+deb13u1
fonts-noto-core	20201225-2
fonts-noto-extra	20201225-2
fonts-noto-mono	20201225-2
fonts-noto-ui-core	20201225-2
fonts-opensymbol	4:102.12+LibO25.2.3-2+deb13u3
fonts-sil-gentium	20081126:1.03-4
fonts-sil-gentium-basic	1.102-1.1
fonts-urw-base35	20200910-8
g++	4:14.2.0-1
g++-14	14.2.0-19
g++-14-x86-64-linux-gnu	14.2.0-19
g++-x86-64-linux-gnu	4:14.2.0-1
gcc	4:14.2.0-1
gcc-14	14.2.0-19
gcc-14-base:amd64	14.2.0-19
gcc-14-x86-64-linux-gnu	14.2.0-19
gcc-x86-64-linux-gnu	4:14.2.0-1
gdal-data	3.10.3+dfsg-1
gdal-plugins:amd64	3.10.3+dfsg-1
gettext-base	0.23.1-2
gfortran	4:14.2.0-1
gfortran-14	14.2.0-19
gfortran-14-x86-64-linux-gnu	14.2.0-19
gfortran-x86-64-linux-gnu	4:14.2.0-1
git	1:2.47.3-0+deb13u1
git-man	1:2.47.3-0+deb13u1
glib-networking:amd64	2.80.1-1
glib-networking-common	2.80.1-1
glib-networking-services	2.80.1-1
gnome-accessibility-themes	3.28-4
gnome-screenshot	41.0-3
gnome-themes-extra:amd64	3.28-4
gnome-themes-extra-data	3.28-4
gnupg	2.4.7-21+deb13u1
gnupg-l10n	2.4.7-21+deb13u1
gnupg-utils	2.4.7-21+deb13u1+b1
gosu	1.17-3+b4
gpg	2.4.7-21+deb13u1+b1
gpg-agent	2.4.7-21+deb13u1+b1
gpg-wks-client	2.4.7-21+deb13u1+b1
gpgconf	2.4.7-21+deb13u1+b1
gpgsm	2.4.7-21+deb13u1+b1
gpgv	2.4.7-21+deb13u1+b1
graphviz	2.42.4-3
grep	3.11-4
gsettings-desktop-schemas	48.0-1
gstreamer1.0-libav:amd64	1.26.2-1
gstreamer1.0-plugins-bad:amd64	1.26.2-3
gstreamer1.0-plugins-base:amd64	1.26.2-1
gstreamer1.0-plugins-good:amd64	1.26.2-1
gstreamer1.0-plugins-ugly:amd64	1.26.3-4
gtk-update-icon-cache	4.18.6+ds-2
gtk2-engines-pixbuf:amd64	2.24.33-7
gzip	1.13-1
hdf5-helpers	1.14.5+repack-3
hicolor-icon-theme	0.18-2
hostname	3.25
hunspell-en-us	1:2020.12.07-4
icu-devtools	76.1-4
init-system-helpers	1.69~deb13u1
initramfs-tools	0.148.4
initramfs-tools-bin	0.148.4
initramfs-tools-core	0.148.4
inotify-tools	4.23.9.0-2+b1
iproute2	6.15.0-1
iputils-ping	3:20240905-3
iso-codes	4.18.0-1
java-common	0.76
java-wrappers	0.5
javascript-common	12+nmu1
jq	1.7.1-6+deb13u1
keyboard-configuration	1.242~deb13u1
klibc-utils	2.0.14-1
kmod	34.2-2
krb5-multidev:amd64	1.21.3-5+deb13u1
lame	3.100-6+b3
lib3mf1t64:amd64	1.8.1+ds-5+b2
liba52-0.7.4:amd64	0.7.4-20+b3
libaa1:amd64	1.4p5-51.1+b1
libaacs0:amd64	0.11.1-4+b1
libabsl20240722:amd64	20240722.0-4
libabw-0.1-1:amd64	0.1.3-1+b2
libacl1:amd64	2.3.2-2+b1
libacl1-dev:amd64	2.3.2-2+b1
libactivation-java	1.2.0-2
libaec-dev:amd64	1.1.3-1+b1
libaec0:amd64	1.1.3-1+b1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl	0.04-9
libalgorithm-merge-perl	0.08-5
libann0	1.1.2+doc-9+b1
libaom-dev:amd64	3.12.1-1
libaom3:amd64	3.12.1-1
libapache-pom-java	33-2
libapache2-mod-php8.4	8.4.23-1~deb13u1
libapparmor1:amd64	4.1.0-1
libapr1t64:amd64	1.7.5-1
libaprutil1-dbd-sqlite3:amd64	1.6.3-3+b1
libaprutil1-ldap:amd64	1.6.3-3+b1
libaprutil1t64:amd64	1.6.3-3+b1
libapt-pkg7.0:amd64	3.0.3
libarchive-dev:amd64	3.7.4-4+deb13u1
libarchive13t64:amd64	3.7.4-4+deb13u1
libargon2-1:amd64	0~20190702+dfsg-4+b2
libarmadillo-dev	1:14.2.3+dfsg-1+b1
libarmadillo14	1:14.2.3+dfsg-1+b1
libarpack2-dev:amd64	3.9.1-6
libarpack2t64:amd64	3.9.1-6
libasan8:amd64	14.2.0-19
libasound2-data	1.2.14-1
libasound2t64:amd64	1.2.14-1
libass9:amd64	1:0.17.3-1+b1
libassuan9:amd64	3.0.2-2
libasyncns0:amd64	0.8-6+b5
libatk-bridge2.0-0t64:amd64	2.56.2-1+deb13u1
libatk-wrapper-java	0.40.0-3
libatk-wrapper-java-jni:amd64	0.40.0-3+b3
libatk1.0-0t64:amd64	2.56.2-1+deb13u1
libatomic1:amd64	14.2.0-19
libatspi2.0-0t64:amd64	2.56.2-1+deb13u1
libattr1:amd64	1:2.5.2-3
libattr1-dev:amd64	1:2.5.2-3
libaudit-common	1:4.0.2-2
libaudit1:amd64	1:4.0.2-2+b2
libavahi-client3:amd64	0.8-16
libavahi-common-data:amd64	0.8-16
libavahi-common3:amd64	0.8-16
libavc1394-0:amd64	0.5.4-5+b2
libavcodec61:amd64	7:7.1.5-0+deb13u1
libavdevice61:amd64	7:7.1.5-0+deb13u1
libavfilter10:amd64	7:7.1.5-0+deb13u1
libavformat61:amd64	7:7.1.5-0+deb13u1
libavif-dev:amd64	1.2.1-1.2
libavif16:amd64	1.2.1-1.2
libavtp0:amd64	0.2.0-2
libavutil59:amd64	7:7.1.5-0+deb13u1
libbase-java	1.1.6-3
libbatik-java	1.18+dfsg-2
libbcmail-java	1.80-3
libbcpkix-java	1.80-3
libbcprov-java	1.80-3
libbcutil-java	1.80-3
libbdplus0:amd64	0.2.0-4+b1
libbinutils:amd64	2.44-3
libblas-dev:amd64	3.12.1-6
libblas3:amd64	3.12.1-6
libblkid1:amd64	2.41-5
libblosc-dev:amd64	1.21.5+ds-1+b2
libblosc1:amd64	1.21.5+ds-1+b2
libbluray2:amd64	1:1.3.4-1+b2
libboost-dev:amd64	1.83.0.2+b2
libboost-filesystem1.83.0:amd64	1.83.0-4.2
libboost-iostreams1.83.0:amd64	1.83.0-4.2
libboost-locale1.83.0:amd64	1.83.0-4.2
libboost-program-options1.83.0:amd64	1.83.0-4.2
libboost-thread1.83.0:amd64	1.83.0-4.2
libboost1.83-dev:amd64	1.83.0-4.2
libbox2d2:amd64	2.4.1-3+b3
libbpf1:amd64	1:1.5.0-3
libbrotli-dev:amd64	1.1.0-2+b7
libbrotli1:amd64	1.1.0-2+b7
libbs2b0:amd64	3.1.0+dfsg-8+b1
libbsd0:amd64	0.12.2-2
libbsh-java	2.0b4-20
libbz2-1.0:amd64	1.0.8-6
libbz2-dev:amd64	1.0.8-6
libc-bin	2.41-12+deb13u3
libc-dev-bin	2.41-12+deb13u3
libc6:amd64	2.41-12+deb13u3
libc6-dev:amd64	2.41-12+deb13u3
libcaca0:amd64	0.99.beta20-5
libcairo-gobject2:amd64	1.18.4-1+b1
libcairo2:amd64	1.18.4-1+b1
libcap-ng0:amd64	0.8.5-4+b1
libcap2:amd64	1:2.75-10+b3
libcap2-bin	1:2.75-10+b3
libcc1-0:amd64	14.2.0-19
libcdio-cdda2t64:amd64	10.2+2.0.2-1+b1
libcdio-paranoia2t64:amd64	10.2+2.0.2-1+b1
libcdio19t64:amd64	2.2.0-4
libcdparanoia0:amd64	3.10.2+debian-14+b1
libcdr-0.1-1:amd64	0.1.7-1+b3
libcdt5:amd64	2.42.4-3
libcfitsio-dev:amd64	4.6.2-2
libcfitsio-doc	4.6.2-2
libcfitsio10t64:amd64	4.6.2-2
libcgraph6:amd64	2.42.4-3
libchromaprint1:amd64	1.5.1-7
libcjson1:amd64	1.7.18-3.1+deb13u1
libcloudproviders0:amd64	0.3.6-2
libclucene-contribs1t64:amd64	2.3.3.4+dfsg-1.2+b1
